parent,батьки
reason,причина
bad,поганий
year,рік
bring,приносити
about,про
your,твій
offer,пропонувати
these,ці
would,би
poor,бідний
friend,друг
let,дозволяти
state,держава
because,тому що
recent,нещодавно
you,ти
they,вони
happen,траплятися
grow,рости
sure,впевнено
environmental,екологічний
remain,залишатися
old,старий
past,минулий
night,ніч
want,хотіти
personal,персональний
them,їх
then,потім
community,спільнота
easy,легкий
morning,ранок
eye,око
cultural,культурний
as,як
at,в
stop,зупиняти
left,залишений
must,мусити
religious,релігійний
strong,сильний
fact,факт
be,бути
cut,різати
I,я
dead,мертвий
turn,повернути
believe,вірити
hot,гарячий
two,два
long,довгий
moment,момент
seem,здається
result,результат
remember,пам’ятати
how,як
into,в
see,бачити
current,сучасний
are,_
by,по
national,національний
after,після
free,вільний
so,отже
close,закритий
popular,популярний
hand,рука
think,думати
a,артикль
art,мистецтво
set,встановлювати
business,бізнес
learn,вивчати
one,один
black,чорний
right,правий
team,команда
possible,можливий
people,люди
stay,залишатися
call,дзвонити
single,одинокий
the,артикль
appear,з’являтися
face,обличчя
meet,зустрічати
blue,синій
watch,дивитися
ask,запитувати
information,інформація
to,до
thing,річ
open,відкритий
story,історія
bed,ліжко
but,але
country,країна
die,помирати
medical,медичний
buy,купити
available,доступний
run,бігти
do,робити
good,добре
research,дослідження
hold,триматися
red,червоний
mother,матір
white,білий
late,пізно
school,школа
leave,залишати
continue,продовжувати
legal,законний
serious,серйозний
talk,говорити
military,військовий
huge,великий
up,вгору
others,інші
those,ті
us,ми
area,площа
add,додавати
which,котрий
need,потребувати
might,могти
this,це
pay,платити
significant,значний
girl,дівчина
look,дивитися
take,брати
she,вона
month,місяць
name,ім’я
final,фінальний
know,знати
party,вечірка
child,дитина
little,маленький
full,повний
allow,дозволяти
some,дещо
private,приватний
young,молодий
idea,ідея
book,книга
father,батько
kid,дитина
show,показувати
for,для
back,повернутися
cold,холодний
house,дім
life,життя
we,ми
not,не
central,центральний
common,загальний
now,зараз
democratic,демократичний
company,компанія
end,кінець
hard,тяжко
human,людина
just,лише
live,жити
early,рано
sit,сидіти
over,над
green,зелений
yes,так
go,йти
start,почати
war,війна
way,шлях
room,кімната
home,дім
better,краще
special,спеціальний
with,котрий
what,що
money,гроші
service,сервіс
there,там
short,короткий
well,добре
time,час
family,родина
he,він
president,президент
play,грати
big,великий
education,освіта
reach,досягати
happy,щасливий
whole,цілий
program,прогама
entire,цілком
when,коли
put,класти
number,число
problem,проблема
her,її
teeth,зуби
write,писати
if,якщо
case,справа
give,дати
likely,швидше за все
similar,подібний
issue,випуск
large,великий
natural,природній
in,в
work,робота
lose,програвати
understand,розуміти
is,_
come,прийти
it,воно
traditional,традиційний
system,система
provide,забезпечити
even,навіть
force,сила
word,слово
begin,починати
become,ставати
love,любити
study,вивчення
wait,чекати
other,інший
woman,жінка
American,американець
city,місто
guy,хлопець
air,повітря
our,наше
local,місцевий
foreign,іноземний
out,вийти
lot,багато
world,світ
government,уряд
fall,падати
low,низький
get,отримувати
member,учасник
have,мати
federal,федеральний
dark,темний
speak,говорити
man,чоловік
place,місце
power,сила
stand,стояти
include,включати
side,сторона
question,запитання
may,могти
could,могти
change,міняти
health,здоров’я
kill,вбивати
great,чудово
lead,приводити
nice,хороший
wrong,хибний
help,допомагати
expect,очікувати
able,здатний
certain,певний
economic,економний
first,перший
small,маленький
door,двері
use,використовувати
tell,казати
feel,почувати
political,політичний
simple,простий
main,головний
office,офіс
serve,служити
body,тіло
him,його
that,це
high,високий
his,його
major,важливіший
fine,добре
find,знаходити
than,ніж
should,повинен
only,лише
me,мені
create,творити
from,з
consider,розглянути
international,міжнародний
different,різні
day,день
group,група
all,все
always,завжди
new,новий
law,закон
read,читати
level,рівень
like,подобатись
kind,доброзичливий
difficult,важкий
history,історія
real,реальний
my,моє
water,вода
important,важливий
most,більш
person,особистість
keep,зберігати
true,правдивий
try,пробувати
job,робота
send,відправити
who,хто
no,ні
game,гра
week,тиждень
student,студент
line,лінія
financial,фінансовий
part,частина
best,найкраще
point,точка
head,голова
can,могти
general,загальний
teacher,вчитель
hour,година
public,публічно
car,машина
ready,готовий
and,і
spend,витратити
of,від
physical,фізичний
make,робити
win,перемагати
hear,чути
on,на
move,рухатися
or,або
will,бажати
social,соціальний
clear,чистий
say,казати
also,також
follow,наслідувати
any,будь-який
minute,хвилина
build,будувати
mean,означати
various,різноманітний
walk,гуляти
